URL                                               	CHART VERSION	APP VERSION	DESCRIPTION                                       	REPO URL                                          
https://artifacthub.io/packages/helm/kubeflow/k...	1.6.2        	1.6.1      	The Kubeflow project is dedicated to making dep...	https://alauda.github.io/kubeflow-chart           
https://artifacthub.io/packages/helm/kromanow94...	0.5.1        	1.9.1      	A Helm chart for Kubeflow                         	https://raw.githubusercontent.com/kromanow94/ku...
https://artifacthub.io/packages/helm/treebeardt...	0.4.1        	           	                                                  	oci://ghcr.io/treebeardtech/helm/kubeflow         
https://artifacthub.io/packages/helm/kromanow94...	0.4.1        	1.9.1      	A Helm chart for Kubeflow CRDs                    	https://raw.githubusercontent.com/kromanow94/ku...
https://artifacthub.io/packages/helm/paddleclou...	0.1.0        	1.7.0      	Kubeflow pipelines are reusable end-to-end ML w...	https://paddleflow-public.hkg.bcebos.com/charts   
https://artifacthub.io/packages/helm/treebeardt...	0.4.1        	           	                                                  	oci://ghcr.io/treebeardtech/helm/kubeflow-core    
https://artifacthub.io/packages/helm/wikimedia/...	0.1.13       	0.6.0      	WMF Kubeflow Kfserving Serving setup              	https://helm-charts.wikimedia.org/stable/         
https://artifacthub.io/packages/helm/getindata/...	1.10.0       	1.8.2      	GetInData ML Ops Platform - Kubeflow Pipelines ...	https://getindata.github.io/helm-charts/          
https://artifacthub.io/packages/helm/wikimedia/...	0.1.4        	0.0.1      	WMF Kubeflow Kfserving Serving Inference serv     	https://helm-charts.wikimedia.org/stable/         
https://artifacthub.io/packages/helm/kubeflow/c...	1.0.0        	1.3.1      	cert manager deps for kubeflow.                   	https://alauda.github.io/kubeflow-chart           
https://artifacthub.io/packages/helm/kubeflow/i...	1.0.0        	1.9        	istio for kubeflow.                               	https://alauda.github.io/kubeflow-chart           
https://artifacthub.io/packages/helm/infracloud...	0.1.3        	v1.9.2     	Helm chart for deploying KubeFlow Notebooks       	https://infracloudio.github.io/charts/            
https://artifacthub.io/packages/helm/statcan/in...	0.0.1        	0.0.1      	A Helm chart for the Statistics Canada Kubeflow...	https://statcan.github.io/charts                  
https://artifacthub.io/packages/helm/statcan/pr...	0.5.47       	0.0.1      	A Helm chart for the Statistics Canada Kubeflow...	https://statcan.github.io/charts                  
https://artifacthub.io/packages/helm/polyaxon/t...	2.1.0        	2.1.0      	Kubeflow training operators integration with Po...	https://charts.polyaxon.com                       
